CourseID,Tittle,Biology,Chemistry,Computer Science,Nursing,Geology,Electronics,Biotechnology,Physics,Microbiology,Agriculture,Horticulture,Nutrition and Dietetics,Zoology,Mathematics,Home Science,Forensic Science,Botany,Mechanical
0,course - 1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,course - 2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2,course - 3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,course - 4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,course - 5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,course - 6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6,course - 7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,course - 8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8,course - 9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,course - 10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,course - 11,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
11,course - 12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,course - 13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,course - 14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
14,course - 15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
15,course - 16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,course - 17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,course - 18,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
18,course - 19,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
19,course - 20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,course - 21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,course - 22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,course - 23,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
23,course - 24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,course - 25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,course - 26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,course - 27,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
27,course - 28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,course - 29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,course - 30,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,course - 31,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,course - 32,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
32,course - 33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,course - 34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,course - 35,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
35,course - 36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,course - 37,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
37,course - 38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,course - 39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,course - 40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,course - 41,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
41,course - 42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
42,course - 43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,course - 44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
